pair,code1,code2,prediction,confidence,semantic_similarity,hard_mismatch,mismatch_reasons,ground_truth,predicted_match
AB,ALP-001,BET-4501,APPROVE,95.5,84.9,False,[],1,1
AG,ALP-001,GAM-882,APPROVE,98.5,95.0,False,[],1,1
BG,BET-4501,GAM-882,APPROVE,94.5,81.6,False,[],1,1
AB,ALP-002,BET-4502,APPROVE,98.4,94.5,False,[],1,1
AG,ALP-002,GAM-883,APPROVE,99.1,97.1,False,[],1,1
BG,BET-4502,GAM-883,APPROVE,97.5,91.7,False,[],1,1
AB,ALP-003,BET-4503,APPROVE,93.6,95.3,False,[],1,1
AG,ALP-003,GAM-884,APPROVE,95.0,100.0,False,[],1,1
BG,BET-4503,GAM-884,APPROVE,93.6,95.3,False,[],1,1
AB,ALP-004,BET-4504,APPROVE,91.2,87.3,False,[],1,1
AG,ALP-004,GAM-885,APPROVE,95.0,100.0,False,[],1,1
BG,BET-4504,GAM-885,APPROVE,91.2,87.3,False,[],1,1
AB,ALP-005,BET-4505,APPROVE,90.7,85.6,False,[],1,1
AG,ALP-005,GAM-886,APPROVE,94.6,98.7,False,[],1,1
BG,BET-4505,GAM-886,APPROVE,90.9,86.4,False,[],1,1
AB,ALP-006,BET-4506,APPROVE,91.0,86.8,False,[],1,1
AG,ALP-006,GAM-887,REVIEW,81.0,86.7,False,[],1,0
BG,BET-4506,GAM-887,REVIEW,84.4,98.2,False,[],1,0
AB,ALP-007,BET-4507,REVIEW,82.6,92.2,False,[],1,0
AG,ALP-007,GAM-888,REVIEW,83.7,95.8,False,[],1,0
BG,BET-4507,GAM-888,APPROVE,93.3,94.4,False,[],1,1
AB,ALP-008,BET-4508,REVIEW,84.4,98.0,False,[],1,0
AG,ALP-008,GAM-889,REVIEW,82.6,92.1,False,[],1,0
BG,BET-4508,GAM-889,REVIEW,82.9,93.1,False,[],1,0
AB,ALP-009,BET-4509,REVIEW,73.5,86.6,False,[],1,0
AG,ALP-009,GAM-890,REVIEW,73.2,85.8,False,[],1,0
BG,BET-4509,GAM-890,REVIEW,77.3,99.2,False,[],1,0
AB,ALP-010,BET-4510,REVIEW,75.7,94.0,False,[],1,0
AG,ALP-010,GAM-891,REVIEW,72.5,83.4,False,[],1,0
BG,BET-4510,GAM-891,REVIEW,74.5,90.1,False,[],1,0
AB,ALP-011,BET-4511,REVIEW,83.2,93.9,False,[],1,0
AG,ALP-011,GAM-892,REVIEW,83.3,94.3,False,[],1,0
BG,BET-4511,GAM-892,REVIEW,83.7,95.5,False,[],1,0
AB,ALP-012,BET-4512,REVIEW,83.9,96.4,False,[],1,0
AG,ALP-012,GAM-893,REVIEW,83.8,96.1,False,[],1,0
BG,BET-4512,GAM-893,REVIEW,84.8,99.4,False,[],1,0
AB,ALP-013,BET-4513,REVIEW,81.7,88.9,False,[],1,0
AG,ALP-013,GAM-894,APPROVE,93.0,93.4,False,[],1,1
BG,BET-4513,GAM-894,REVIEW,80.8,86.1,False,[],1,0
AB,ALP-014,BET-4514,APPROVE,94.9,99.6,False,[],1,1
AG,ALP-014,GAM-895,REVIEW,81.8,89.4,False,[],1,0
BG,BET-4514,GAM-895,REVIEW,81.4,88.2,False,[],1,0
AB,ALP-015,BET-4515,REVIEW,83.2,94.0,False,[],1,0
AG,ALP-015,GAM-896,REVIEW,84.4,98.1,False,[],1,0
BG,BET-4515,GAM-896,REVIEW,83.8,96.0,False,[],1,0
AB,ALP-016,BET-4516,APPROVE,99.3,97.5,False,[],1,1
AG,ALP-016,GAM-897,APPROVE,99.2,97.4,False,[],1,1
BG,BET-4516,GAM-897,APPROVE,99.0,96.7,False,[],1,1
AB,ALP-017,BET-4517,APPROVE,91.4,88.1,False,[],1,1
AG,ALP-017,GAM-898,REVIEW,84.4,89.5,False,[],1,0
BG,BET-4517,GAM-898,REVIEW,87.2,98.9,False,[],1,0
AB,ALP-018,BET-4518,APPROVE,90.0,83.4,False,[],1,1
AG,ALP-018,GAM-899,REVIEW,84.8,99.3,False,[],1,0
BG,BET-4518,GAM-899,REVIEW,80.1,83.8,False,[],1,0
AB,ALP-019,BET-4519,REVIEW,76.5,96.7,False,[],1,0
AG,ALP-019,GAM-900,REVIEW,76.5,96.7,False,[],1,0
BG,BET-4519,GAM-900,REVIEW,87.5,100.0,False,[],1,0
AB,ALP-020,BET-4520,REVIEW,77.5,100.0,False,[],1,0
AG,ALP-020,GAM-901,REVIEW,73.2,85.8,False,[],1,0
BG,BET-4520,GAM-901,REVIEW,73.2,85.8,False,[],1,0
AB,ALP-021,BET-4521,REVIEW,84.1,97.0,False,[],1,0
AG,ALP-021,GAM-902,REVIEW,83.8,95.8,False,[],1,0
BG,BET-4521,GAM-902,REVIEW,82.9,93.0,False,[],1,0
AB,ALP-022,BET-4522,REVIEW,83.2,94.1,False,[],1,0
AG,ALP-022,GAM-903,REVIEW,84.0,96.6,False,[],1,0
BG,BET-4522,GAM-903,REVIEW,82.9,92.9,False,[],1,0
AB,ALP-023,BET-4523,REVIEW,83.1,93.5,False,[],1,0
AG,ALP-023,GAM-904,REVIEW,76.5,96.5,False,[],1,0
BG,BET-4523,GAM-904,REVIEW,75.2,92.3,False,[],1,0
AB,ALP-024,BET-4524,REVIEW,81.7,89.0,False,[],1,0
AG,ALP-024,GAM-905,REVIEW,83.9,96.4,False,[],1,0
BG,BET-4524,GAM-905,APPROVE,92.8,92.6,False,[],1,1
AB,ALP-025,BET-4525,REVIEW,80.8,86.0,False,[],1,0
AG,ALP-025,GAM-906,APPROVE,94.6,98.8,False,[],1,1
BG,BET-4525,GAM-906,REVIEW,81.1,87.1,False,[],1,0
AB,ALP-026,BET-4526,APPROVE,100.0,100.0,False,[],1,1
AG,ALP-026,GAM-907,APPROVE,99.1,97.0,False,[],1,1
BG,BET-4526,GAM-907,APPROVE,99.1,97.0,False,[],1,1
AB,ALP-027,BET-4527,APPROVE,98.3,94.3,False,[],1,1
AG,ALP-027,GAM-908,APPROVE,99.2,97.2,False,[],1,1
BG,BET-4527,GAM-908,APPROVE,97.6,92.0,False,[],1,1
AB,ALP-028,BET-4528,APPROVE,93.3,94.4,False,[],1,1
AG,ALP-028,GAM-909,APPROVE,90.8,86.1,False,[],1,1
BG,BET-4528,GAM-909,APPROVE,90.4,84.7,False,[],1,1
AB,ALP-029,BET-4529,APPROVE,92.4,91.4,False,[],1,1
AG,ALP-029,GAM-910,APPROVE,94.7,99.0,False,[],1,1
BG,BET-4529,GAM-910,APPROVE,92.6,92.0,False,[],1,1
AB,ALP-030,BET-4530,REVIEW,76.1,95.4,False,[],1,0
AG,ALP-030,GAM-911,REVIEW,76.6,97.1,False,[],1,0
BG,BET-4530,GAM-911,REVIEW,75.7,94.0,False,[],1,0
AB,ALP-031,BET-4531,REVIEW,73.1,85.3,False,[],1,0
AG,ALP-031,GAM-912,REVIEW,73.1,85.3,False,[],1,0
BG,BET-4531,GAM-912,REVIEW,77.5,100.0,False,[],1,0
AB,ALP-032,BET-4532,REVIEW,84.1,97.1,False,[],1,0
AG,ALP-032,GAM-913,REVIEW,84.7,99.1,False,[],1,0
BG,BET-4532,GAM-913,REVIEW,83.8,95.9,False,[],1,0
AB,ALP-033,BET-4533,REVIEW,84.5,98.4,False,[],1,0
AG,ALP-033,GAM-914,APPROVE,93.1,93.8,False,[],1,1
BG,BET-4533,GAM-914,REVIEW,83.4,94.7,False,[],1,0
AB,ALP-034,BET-4534,REVIEW,76.2,95.7,False,[],1,0
AG,ALP-034,GAM-915,REVIEW,76.1,95.4,False,[],1,0
BG,BET-4534,GAM-915,REVIEW,76.2,95.7,False,[],1,0
AB,ALP-035,BET-4535,APPROVE,100.0,99.9,False,[],1,1
AG,ALP-035,GAM-916,APPROVE,99.3,97.7,False,[],1,1
BG,BET-4535,GAM-916,APPROVE,99.4,98.0,False,[],1,1
AB,ALP-036,BET-4536,REVIEW,80.7,85.5,False,[],1,0
AG,ALP-036,GAM-917,APPROVE,94.7,99.1,False,[],1,1
BG,BET-4536,GAM-917,REVIEW,80.8,86.2,False,[],1,0
AB,ALP-037,BET-4537,REVIEW,82.7,92.4,False,[],1,0
AG,ALP-037,GAM-918,REVIEW,84.9,99.6,False,[],1,0
BG,BET-4537,GAM-918,REVIEW,82.7,92.4,False,[],1,0
AB,ALP-038,BET-4538,REVIEW,84.4,98.0,False,[],1,0
AG,ALP-038,GAM-919,REVIEW,84.8,99.3,False,[],1,0
BG,BET-4538,GAM-919,REVIEW,84.2,97.3,False,[],1,0
AB,ALP-039,BET-4539,REVIEW,81.1,86.9,False,[],1,0
AG,ALP-039,GAM-920,APPROVE,93.3,94.2,False,[],1,1
BG,BET-4539,GAM-920,REVIEW,81.2,87.2,False,[],1,0
AB,ALP-040,BET-4540,APPROVE,94.0,96.6,False,[],1,1
AG,ALP-040,GAM-921,APPROVE,95.0,100.0,False,[],1,1
BG,BET-4540,GAM-921,APPROVE,94.0,96.6,False,[],1,1
AB,ALP-041,BET-4542,APPROVE,97.4,91.4,False,[],1,1
AG,ALP-041,GAM-962,APPROVE,99.4,97.9,False,[],1,1
BG,BET-4542,GAM-962,APPROVE,96.7,88.9,False,[],1,1
AB,ALP-042,BET-4543,APPROVE,99.1,96.9,False,[],1,1
AG,ALP-042,GAM-963,APPROVE,97.8,92.5,False,[],1,1
BG,BET-4543,GAM-963,APPROVE,96.7,88.9,False,[],1,1
AB,ALP-043,BET-4544,APPROVE,98.9,96.4,False,[],1,1
AG,ALP-043,GAM-964,APPROVE,98.6,95.2,False,[],1,1
BG,BET-4544,GAM-964,APPROVE,97.3,90.9,False,[],1,1
AB,ALP-044,BET-4545,APPROVE,98.2,93.9,False,[],1,1
AG,ALP-044,GAM-965,APPROVE,99.4,98.0,False,[],1,1
BG,BET-4545,GAM-965,APPROVE,97.8,92.6,False,[],1,1
AB,ALP-045,BET-4546,APPROVE,99.8,99.3,False,[],1,1
AG,ALP-045,GAM-966,APPROVE,97.5,91.6,False,[],1,1
BG,BET-4546,GAM-966,APPROVE,97.8,92.6,False,[],1,1
AB,ALP-046,BET-4547,APPROVE,99.8,99.5,False,[],1,1
AG,ALP-046,GAM-967,APPROVE,98.1,93.7,False,[],1,1
BG,BET-4547,GAM-967,APPROVE,98.4,94.5,False,[],1,1
AB,ALP-047,BET-4548,APPROVE,90.4,84.7,False,[],1,1
AG,ALP-047,GAM-968,APPROVE,93.9,96.3,False,[],1,1
BG,BET-4548,GAM-968,APPROVE,96.5,88.4,False,[],1,1
AB,ALP-048,BET-4549,APPROVE,94.2,97.3,False,[],1,1
AG,ALP-048,GAM-969,APPROVE,90.5,84.9,False,[],1,1
BG,BET-4549,GAM-969,APPROVE,96.5,88.4,False,[],1,1
AB,ALP-049,BET-4550,APPROVE,93.9,96.3,False,[],1,1
AG,ALP-049,GAM-970,APPROVE,90.4,84.7,False,[],1,1
BG,BET-4550,GAM-970,APPROVE,96.5,88.4,False,[],1,1
AB,ALP-050,BET-4551,APPROVE,91.3,87.5,False,[],1,1
AG,ALP-050,GAM-971,APPROVE,95.0,100.0,False,[],1,1
BG,BET-4551,GAM-971,APPROVE,91.3,87.5,False,[],1,1
AB,ALP-051,BET-4552,APPROVE,95.0,100.0,False,[],1,1
AG,ALP-051,GAM-972,APPROVE,91.3,87.5,False,[],1,1
